Year,County Name,Age Group,Victims
2011,Lucas,5 Years Old and Younger,17
2012,OBrien,11 Years Old and Older,16
2010,Decatur,5 Years Old and Younger,27
2007,Clinton,11 Years Old and Older,40
2014,Lyon,11 Years Old and Older,4
2008,Clay,6 to 10 Years Old,27
2013,Lucas,11 Years Old and Older,14
2004,Harrison,5 Years Old and Younger,12
2004,Lee,5 Years Old and Younger,106
2013,Sioux,5 Years Old and Younger,28
2005,Hardin,5 Years Old and Younger,28
2010,Carroll,6 to 10 Years Old,19
2014,Fremont,11 Years Old and Older,1
2005,Davis,5 Years Old and Younger,10
2011,Taylor,11 Years Old and Older,2
2016,Guthrie,11 Years Old and Older,9
2008,Hancock,6 to 10 Years Old,8
2011,Humboldt,11 Years Old and Older,5
2013,Decatur,6 to 10 Years Old,14
2017,Plymouth,6 to 10 Years Old,17
2007,Boone,6 to 10 Years Old,26
2007,Hamilton,11 Years Old and Older,21
2012,Henry,6 to 10 Years Old,19
2016,Franklin,5 Years Old and Younger,19
2010,Clayton,6 to 10 Years Old,13
2007,Kossuth,6 to 10 Years Old,10
2005,Lyon,5 Years Old and Younger,11
2004,Johnson,6 to 10 Years Old,91
2006,Franklin,6 to 10 Years Old,19
2004,Monona,11 Years Old and Older,6
2017,Sac,6 to 10 Years Old,7
2014,Van Buren,5 Years Old and Younger,10
2006,Woodbury,11 Years Old and Older,124
2007,Audubon,11 Years Old and Older,7
2008,Dallas,6 to 10 Years Old,36
2013,Woodbury,11 Years Old and Older,113
2012,Story,11 Years Old and Older,55
2010,Appanoose,11 Years Old and Older,28
2006,Osceola,6 to 10 Years Old,8
2008,Dubuque,5 Years Old and Younger,201
2004,Winnebago,11 Years Old and Older,20
2008,Mills,11 Years Old and Older,11
2008,Dallas,11 Years Old and Older,51
2005,Warren,6 to 10 Years Old,39
2004,Madison,5 Years Old and Younger,23
2015,Keokuk,5 Years Old and Younger,13
2013,Marshall,11 Years Old and Older,42
2017,Jefferson,6 to 10 Years Old,18
2013,Madison,11 Years Old and Older,17
2009,Wapello,11 Years Old and Older,61
2010,Louisa,5 Years Old and Younger,22
2010,Wayne,6 to 10 Years Old,9
2007,Cerro Gordo,11 Years Old and Older,51
2014,Van Buren,6 to 10 Years Old,4
2017,Ringgold,11 Years Old and Older,5
2011,Dickinson,11 Years Old and Older,7
2017,Cerro Gordo,11 Years Old and Older,40
2008,OBrien,5 Years Old and Younger,35
2005,OBrien,11 Years Old and Older,17
2011,Worth,6 to 10 Years Old,6
2009,Dallas,11 Years Old and Older,40
2013,Hardin,5 Years Old and Younger,41
2013,Appanoose,6 to 10 Years Old,15
2012,Decatur,11 Years Old and Older,5
2017,Cerro Gordo,6 to 10 Years Old,37
2017,Dickinson,5 Years Old and Younger,18
2010,Warren,5 Years Old and Younger,71
2007,Washington,6 to 10 Years Old,5
2009,Cass,5 Years Old and Younger,33
2008,Webster,5 Years Old and Younger,108
2008,Calhoun,11 Years Old and Older,10
2010,Fayette,6 to 10 Years Old,13
2010,Clarke,6 to 10 Years Old,16
2013,Keokuk,6 to 10 Years Old,12
2005,Linn,6 to 10 Years Old,251
2009,Union,6 to 10 Years Old,16
2006,Muscatine,6 to 10 Years Old,85
2007,Mills,5 Years Old and Younger,12
2009,Benton,5 Years Old and Younger,47
2005,Hamilton,6 to 10 Years Old,21
2006,Polk,5 Years Old and Younger,816
2009,Butler,11 Years Old and Older,18
2005,Monona,11 Years Old and Older,7
2006,Story,6 to 10 Years Old,73
2012,Butler,5 Years Old and Younger,20
2013,Humboldt,6 to 10 Years Old,23
2006,Decatur,5 Years Old and Younger,18
2012,Mills,6 to 10 Years Old,12
2013,Marion,6 to 10 Years Old,35
2013,Clayton,6 to 10 Years Old,19
2009,Hamilton,5 Years Old and Younger,29
2007,Dallas,11 Years Old and Older,32
2004,Jackson,6 to 10 Years Old,34
2009,Linn,11 Years Old and Older,217
2017,Poweshiek,6 to 10 Years Old,23
2006,Taylor,6 to 10 Years Old,5
2008,Fayette,11 Years Old and Older,20
2013,Pocahontas,11 Years Old and Older,10
2011,Cass,6 to 10 Years Old,19
2013,Iowa,6 to 10 Years Old,8
2014,Crawford,5 Years Old and Younger,10
2013,Jefferson,11 Years Old and Older,8
2016,Clay,6 to 10 Years Old,20
2010,Sioux,11 Years Old and Older,15
2005,Franklin,11 Years Old and Older,6
2009,Allamakee,11 Years Old and Older,10
2009,Chickasaw,5 Years Old and Younger,16
2017,Iowa,5 Years Old and Younger,21
2007,Delaware,11 Years Old and Older,18
2013,Cedar,6 to 10 Years Old,13
2010,Keokuk,5 Years Old and Younger,15
2013,Plymouth,5 Years Old and Younger,26
2017,Tama,11 Years Old and Older,8
2006,Carroll,6 to 10 Years Old,25
2016,Mahaska,11 Years Old and Older,10
2011,Woodbury,6 to 10 Years Old,119
2006,Dubuque,6 to 10 Years Old,110
2007,Jones,5 Years Old and Younger,16
2010,Plymouth,5 Years Old and Younger,25
2006,Buena Vista,11 Years Old and Older,18
2010,Grundy,11 Years Old and Older,6
2014,Jasper,6 to 10 Years Old,32
2005,Benton,6 to 10 Years Old,22
2004,Hardin,5 Years Old and Younger,27
2009,Johnson,5 Years Old and Younger,198
2012,Adams,6 to 10 Years Old,6
2004,Mills,5 Years Old and Younger,23
2013,Ringgold,5 Years Old and Younger,3
2012,Davis,6 to 10 Years Old,5
2011,Boone,5 Years Old and Younger,63
2008,Cerro Gordo,5 Years Old and Younger,140
2004,Davis,6 to 10 Years Old,6
2012,Greene,11 Years Old and Older,6
2009,Floyd,6 to 10 Years Old,23
2006,Johnson,5 Years Old and Younger,170
2010,Wapello,11 Years Old and Older,86
2007,Cedar,5 Years Old and Younger,28
2010,Mills,11 Years Old and Older,8
2006,Pottawattamie,11 Years Old and Older,122
2009,Winnebago,11 Years Old and Older,6
2014,Black Hawk,6 to 10 Years Old,117
2008,Audubon,6 to 10 Years Old,7
2011,Allamakee,5 Years Old and Younger,18
2011,Cedar,11 Years Old and Older,11
2016,Humboldt,6 to 10 Years Old,13
2011,Mills,6 to 10 Years Old,8
2011,Adams,5 Years Old and Younger,8
2012,Mitchell,11 Years Old and Older,0
2007,Clarke,5 Years Old and Younger,12
2007,Fremont,11 Years Old and Older,11
2008,Page,11 Years Old and Older,12
2017,Guthrie,11 Years Old and Older,10
2013,Winnebago,6 to 10 Years Old,10
2007,Dickinson,5 Years Old and Younger,23
2012,Monona,6 to 10 Years Old,14
2008,Linn,5 Years Old and Younger,378
2009,Dickinson,6 to 10 Years Old,20
2008,Howard,5 Years Old and Younger,17
2009,Palo Alto,11 Years Old and Older,9
2004,Henry,6 to 10 Years Old,48
2009,Boone,5 Years Old and Younger,67
2017,Sioux,11 Years Old and Older,35
2011,Mitchell,5 Years Old and Younger,12
2005,OBrien,5 Years Old and Younger,23
2014,Clayton,11 Years Old and Older,11
